player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
DeCarlos Nicholson,157143,CB,USC,2,2,,2.0,326,0,39.6,0,1,0,0,0,0.0
Isaiah Greene,153970,CB,CAMPBELL,2,3,,3.0,131,0,39.6,0,1,0,0,0,0.0
Colby Dempsey,121487,CB,UAB,5,10,,5.0,321,0,39.6,0,2,0,0,0,0.0
Braheem Long Jr.,183376,S,SYRACUSE,3,5,,5.0,304,0,39.6,0,1,0,0,0,0.0
Marshall Washington Jr.,192476,CB,LIUSHAR,1,2,,2.0,1298,0,39.6,0,1,0,0,0,0.0
Hamilton Baker,121551,S,ARMY,3,18,,18.0,114,0,39.6,0,1,0,0,0,0.0
Anthony Johnson Jr.,155245,CB,W KENTUCKY,8,20,,10.0,346,0,39.6,0,2,0,0,0,0.0
Drew Woodaz,189373,LB,CLEMSON,1,1,,1.0,140,0,39.6,0,1,0,0,0,0.0
Devion Hargrove,121681,CB,HOUCHR,5,10,,10.0,183,0,39.6,0,1,0,0,0,0.0
Jayden Bellamy,156984,CB,SYRACUSE,5,14,,14.0,304,0,39.6,0,1,0,0,0,0.0
Isaiah Crosby,183258,S,CAL,2,5,,5.0,130,0,39.6,0,1,0,0,0,0.0
Carson Irons,155383,LB,PRINCETON,3,5,,5.0,272,0,39.6,0,1,0,0,0,0.0
Jacobie Henderson,156809,CB,MARSHALL,5,9,,9.0,214,0,39.6,0,1,0,0,0,0.0
Izaiah Guy,156698,CB,GA STATE,5,6,,3.0,175,0,39.6,0,2,0,0,0,0.0
Tyler Turner,174123,S,OREGON,5,10,,10.0,264,0,39.6,0,1,0,0,0,0.0
Jordan Helton,155785,S,TENN STATE,3,12,,12.0,308,0,39.6,0,1,0,0,0,0.0
Kaquan Kimber,182404,LB,TUSKEGEE,1,8,,8.0,405,0,39.6,0,1,0,0,0,0.0
Ahmad Robinson,156655,CB,PRVIEW A&M,3,6,,6.0,270,0,39.6,0,1,0,0,0,0.0
LaShon Young,183040,S,MILES,1,2,,2.0,386,0,39.6,0,1,0,0,0,0.0
Rodney Johnson,122103,CB,SOUTHERN U,5,5,,5.0,297,0,39.6,0,1,0,0,0,0.0
Jeremiah Walker,122125,CB,STF AUSTIN,6,13,,6.5,301,0,39.6,0,2,0,0,0,0.0
Daedae Hill,156527,CB,FAU,2,2,,2.0,165,0,39.6,0,1,0,0,0,0.0
Gabe Powers,156486,LB,OHIO STATE,2,2,,2.0,260,0,39.6,0,1,0,0,0,0.0
Deshaun Lee,156442,CB,IOWA,2,5,,5.0,192,0,39.6,0,1,0,0,0,0.0
TJ Hall,156441,CB,IOWA,4,5,,5.0,192,0,39.6,0,1,0,0,0,0.0
Lovelace Rufus,182848,S,MORGAN ST,3,7,,3.5,235,0,39.6,0,2,0,0,0,0.0
Jamar Rucks,122252,ED,KENNESAW,2,2,,2.0,200,0,39.6,0,1,0,0,0,0.0
Georderrial Williams,156199,CB,TULSA,1,1,,1.0,320,0,39.6,0,1,0,0,0,0.0
Aaron Kusler,138306,LB,S DAK ST,2,4,,4.0,292,0,39.6,0,1,0,0,0,0.0
Tyler Brown,189982,S,JAMES MAD,2,8,,8.0,197,0,39.6,0,1,0,0,0,0.0
Nyquan Washington,138141,CB,W MICHIGAN,2,6,,3.0,347,0,39.6,0,2,0,0,0,0.0
Kaleb Culp,133217,S,TEXAS ST,7,19,,9.5,314,0,39.6,0,2,0,0,0,0.0
David Godsey Jr.,133044,CB,LA MONROE,2,2,,2.0,209,0,39.6,0,1,0,0,0,0.0
Ashton Hampton,189365,CB,CLEMSON,3,10,,5.0,140,0,39.6,0,2,0,0,0,0.0
Hayden Shaheen,139480,LB,NICHOLLS,9,37,,18.5,243,0,39.6,0,2,0,0,0,0.0
Caesar Magee III,139529,CB,NWSTATE,5,10,,10.0,257,0,39.6,0,1,0,0,0,0.0
