model_rank,player_name,position,school,final_grade,round_value,consensus_rank,formula_score,pick_score,best_team_fit
30,Kevin Concepcion,WR,Texas A&M,79.65,Round 4-5,55,80.6,,CLE
31,Olaivavega Ioane,IOL,Penn State Nittany Lions,82.47,Round 2-3,16,83.29,,DET
32,Nicholas Singleton,RB,Penn State,79.39,Round 4-5,61,80.07,,DAL
33,Jermod McCoy,CB,Tennessee,76.79,Round 4-5,152,77.64,,JAX
34,Monroe Freeling,OT,Georgia,84.62,Round 1,6,85.02,,LAR
35,DJ McKinney,CB,Colorado,79.47,Round 4-5,60,79.73,,JAX
36,LaNorris Sellers,QB,South Carolina,76.54,Round 4-5,164,79.41,,LV
37,Cole Payton,QB,North Dakota State,73.69,Round 5-6,253,77.67,,LV
38,KC Concepcion,WR,Texas A&M Aggies,77.45,Round 4-5,119,78.46,,CLE
39,Eugene Brooks III,IOL,Oklahoma,79.15,Round 4-5,67,79.88,,DET
40,Christian Thomas,LB,Maine,78.49,Round 4-5,80,77.54,,LAR
41,Langston Jones,OT,Lehigh,77.95,Round 4-5,106,78.13,,LAR
